	date	temperatureInCelcius
0	2026-06-03 00:00:00+00:00	18.928
1	2026-06-03 01:00:00+00:00	18.178
2	2026-06-03 02:00:00+00:00	17.477999
3	2026-06-03 03:00:00+00:00	16.828
4	2026-06-03 04:00:00+00:00	16.328
5	2026-06-03 05:00:00+00:00	16.028
6	2026-06-03 06:00:00+00:00	15.978
7	2026-06-03 07:00:00+00:00	16.278
8	2026-06-03 08:00:00+00:00	16.977999
9	2026-06-03 09:00:00+00:00	17.828
10	2026-06-03 10:00:00+00:00	18.778
11	2026-06-03 11:00:00+00:00	19.528
12	2026-06-03 12:00:00+00:00	20.078
13	2026-06-03 13:00:00+00:00	20.377998
14	2026-06-03 14:00:00+00:00	20.528
15	2026-06-03 15:00:00+00:00	20.627998
16	2026-06-03 16:00:00+00:00	20.578
17	2026-06-03 17:00:00+00:00	20.377998
18	2026-06-03 18:00:00+00:00	20.078
19	2026-06-03 19:00:00+00:00	19.528
20	2026-06-03 20:00:00+00:00	18.727999
21	2026-06-03 21:00:00+00:00	17.778
22	2026-06-03 22:00:00+00:00	16.877998
23	2026-06-03 23:00:00+00:00	16.127998
24	2026-06-04 00:00:00+00:00	15.678
25	2026-06-04 01:00:00+00:00	15.528
26	2026-06-04 02:00:00+00:00	15.578
27	2026-06-04 03:00:00+00:00	15.828
28	2026-06-04 04:00:00+00:00	16.178
29	2026-06-04 05:00:00+00:00	16.678
30	2026-06-04 06:00:00+00:00	17.328
31	2026-06-04 07:00:00+00:00	18.278
32	2026-06-04 08:00:00+00:00	19.627998
33	2026-06-04 09:00:00+00:00	21.078
34	2026-06-04 10:00:00+00:00	22.428
35	2026-06-04 11:00:00+00:00	23.528
36	2026-06-04 12:00:00+00:00	24.078
37	2026-06-04 13:00:00+00:00	23.977999
38	2026-06-04 14:00:00+00:00	23.428
39	2026-06-04 15:00:00+00:00	22.528
40	2026-06-04 16:00:00+00:00	21.528
41	2026-06-04 17:00:00+00:00	20.578
42	2026-06-04 18:00:00+00:00	19.877998
43	2026-06-04 19:00:00+00:00	19.428
44	2026-06-04 20:00:00+00:00	19.028
45	2026-06-04 21:00:00+00:00	18.727999
46	2026-06-04 22:00:00+00:00	18.428
